NUSP,P1,P2,Sub,M1
661464,5.8,2.5,3.3,4.3
4817680,6.7,1.7,6.7,6.7
4844541,10.0,5.8,,7.5
4980738,4.2,3.3,,3.7
5027447,5.0,5.8,,5.5
5104641,5.0,,0.8,2.5
5228351,9.2,6.7,,7.7
5352941,,,,0.0
6010281,5.0,4.2,10.0,8.0
7153309,,,,0.0
7350139,8.3,3.3,,5.3
7608790,,,,0.0
7877540,5.0,0.8,3.3,4.0
8042777,2.5,3.3,2.5,3.0
8272590,3.3,5.0,2.5,4.0
8439101,,,,0.0
8587198,,5.0,,3.0
8589415,5.8,4.2,,5.0
9292538,6.7,4.2,,5.2
9795293,5.8,2.5,4.2,5.0
9833131,,1.7,0.8,1.3
9837239,0.8,,,0.3
9853360,,1.7,0.8,1.3
10212972,,1.7,2.5,2.0
10276702,5.0,4.2,,4.5
10278997,5.0,3.3,4.2,4.5
10327500,4.2,1.7,3.3,3.7
10334867,6.7,0.8,2.5,4.2
10334908,,1.7,4.2,2.7
10336042,,,,0.0
10393422,6.7,4.2,,5.2
10694661,4.2,,1.7,2.7
10731901,,,,0.0
10769556,5.0,2.5,3.3,4.0
10769841,5.0,4.2,1.7,3.2
10770652,5.0,9.2,,7.5
10771820,5.0,,,2.0
10772286,5.0,0.8,1.7,3.0
10772762,,,,0.0
10772859,,,,0.0
10772891,,2.5,3.3,2.8
10772904,4.2,3.3,,3.7
10772932,5.0,6.7,,6.0
10773102,3.3,,,1.3
10773190,4.2,3.3,,3.7
10774973,5.0,1.7,3.3,4.0
10801541,2.5,2.5,0.8,1.8
10823894,,,,0.0
11072993,4.2,5.8,,5.2
11200803,2.5,10.0,,7.0
11202232,4.2,5.8,,5.2
11202336,5.8,4.2,,5.0
11213165,2.5,9.2,,6.5
11222381,5.8,3.3,2.5,3.8
11223649,1.7,1.7,1.7,1.7
11233007,,1.7,1.7,1.7
11233223,9.2,5.0,,6.7
11233522,5.8,5.0,,5.3
11234436,3.3,2.5,2.5,2.8
11256782,,,,0.0
11257352,1.7,2.5,0.8,1.8
11257456,4.2,2.5,2.5,3.2
11260360,,1.7,4.2,2.7
11260721,,,,0.0
11261170,,,,0.0
11261419,,4.2,2.5,3.5
11261980,,4.2,1.7,3.2
11262125,3.3,4.2,,3.8
11262751,,,,0.0
11263092,,,,0.0
11263338,5.8,5.8,,5.8
11281266,3.3,4.2,,3.8
11302244,,3.3,7.5,5.0
11302734,,4.2,1.7,3.2
11314797,7.5,3.3,,5.0
11325069,6.7,,1.7,3.7
11368411,,2.5,1.7,2.2
11375100,3.3,2.5,5.8,5.0
11375396,3.3,2.5,0.0,1.5
11544769,4.2,0.0,10.0,7.7
11544842,4.2,1.7,4.2,4.2
11545304,3.3,2.5,5.0,4.3
11556898,,0.8,2.5,1.5
11576553,4.2,7.5,,6.2
11780680,2.5,3.3,,3.0
