NUSP,Turma,P2,P3,M1,Sub,MSub,Rec,M2
1,4,2.5,1.3,1.6,3.1,3.0,1.7,2.4
2,13,6.7,5.0,5.4,,5.4,,5.4
3,12,7.5,3.8,4.7,8.1,8.0,,8.0
4,8,4.2,1.9,2.5,3.1,3.4,3.3,3.4
5,9,9.2,1.9,3.7,,3.7,,1.9
6,5,8.3,1.9,3.5,0.6,3.5,1.7,2.6
7,10,7.5,4.4,5.2,,5.2,,5.2
8,8,7.5,6.3,6.6,,6.6,,6.6
9,1,1.7,,0.4,,0.4,,0.2
10,13,5.8,1.9,2.9,,3.0,,1.5
11,7,6.7,4.4,5.0,,5.0,,5.0
12,10,8.3,3.1,4.4,2.5,4.4,2.5,3.5
13,2,6.7,1.9,3.1,3.1,4.0,8.3,6.2
14,13,,,0.0,,0.0,,0.0
15,9,6.7,2.5,3.6,1.9,3.6,6.7,5.2
16,12,5.8,3.8,4.3,3.1,4.3,6.7,5.5
17,7,5.8,,1.5,,1.5,,0.8
18,6,,,0.0,,0.0,,0.0
19,5,7.5,5.0,5.6,,5.6,,5.6
20,7,5.8,3.1,3.8,2.5,3.8,,1.9
21,11,6.7,3.8,4.5,,4.5,3.3,3.9
22,13,9.2,2.5,4.2,1.9,4.2,4.2,4.2
23,5,,3.8,2.9,1.3,3.2,2.5,2.9
24,2,3.3,,0.8,,0.8,,0.4
25,4,5.0,,1.3,,1.3,,0.7
26,13,5.8,0.6,1.9,0.6,1.9,,1.0
27,5,,,0.0,,0.0,,0.0
28,11,,1.9,1.4,,1.4,,0.7
29,3,,1.9,1.4,2.5,2.1,,1.1
30,7,3.3,3.1,3.2,,3.2,2.5,2.9
31,3,5.8,2.5,3.3,1.3,3.3,2.5,2.9
32,1,6.7,1.3,2.7,1.9,3.1,3.3,3.2
33,9,5.8,4.4,4.8,3.1,4.8,1.7,3.3
34,3,4.2,1.3,2.0,4.4,4.4,6.7,5.6
35,13,5.8,3.8,4.3,5.6,5.7,,5.7
36,3,4.2,1.3,2.0,1.3,2.0,,1.0
37,3,6.7,4.4,5.0,,5.0,,5.0
38,9,8.3,6.9,7.3,,7.3,,7.3
39,5,,4.4,3.3,1.3,3.6,1.7,2.7
40,9,6.7,,1.7,3.1,4.0,,2.0
41,8,4.2,,1.1,3.1,3.4,,1.7
42,8,,,0.0,,0.0,,0.0
43,3,4.2,1.3,2.0,3.8,3.9,3.3,3.6
44,3,8.3,9.4,9.1,,9.1,,9.1
45,10,9.2,3.1,4.6,4.4,5.6,,5.6
46,6,7.5,1.3,2.9,0.6,3.0,,1.5
47,2,7.5,3.1,4.2,1.9,4.2,4.2,4.2
48,1,5.8,3.1,3.8,1.9,3.8,5.0,4.4
49,5,5.8,5.6,5.7,,5.7,,5.7
50,6,7.5,5.6,6.1,,6.1,,6.1
51,6,7.5,4.4,5.2,,5.2,,5.2
52,1,,,0.0,,0.0,,0.0
53,4,8.3,2.5,4.0,,4.0,2.5,3.3
54,6,7.5,3.8,4.7,1.9,4.7,3.3,4.0
55,13,5.0,,1.3,3.8,4.1,,2.1
56,13,4.2,2.5,2.9,1.9,3.0,5.8,4.4
57,1,0.8,,0.2,,0.2,,0.1
58,5,0.8,,0.2,1.3,1.2,,0.6
59,13,,,0.0,2.5,1.9,,1.0
60,13,3.3,3.8,3.7,,3.7,,1.9
61,13,5.8,5.6,5.7,,5.7,,5.7
62,5,6.7,5.0,5.4,,5.4,,5.4
63,9,7.5,1.9,3.3,,3.3,,1.7
64,5,4.2,1.9,2.5,0.6,2.5,,1.3
65,2,7.5,1.3,2.9,3.1,4.2,4.2,4.2
66,6,5.8,2.5,3.3,,3.3,,1.7
67,12,6.7,4.4,5.0,,5.0,,5.0
68,13,1.7,1.3,1.4,,1.4,,0.7
69,6,2.5,,0.6,1.9,2.1,,1.1
70,2,7.5,2.5,3.8,0.6,3.8,,1.9
71,8,2.5,3.1,3.0,2.5,3.0,2.5,2.8
72,4,6.7,,1.7,,1.7,,0.9
73,2,,,0.0,,0.0,,0.0
74,3,5.0,0.6,1.7,,1.7,,0.9
75,13,8.3,2.5,4.0,1.9,4.0,5.8,4.9
76,3,5.0,3.1,3.6,3.8,4.1,3.3,3.7
77,1,5.8,5.0,5.2,,5.2,,5.2
78,1,,3.1,2.3,1.9,2.8,,1.4
79,2,5.0,3.1,3.6,3.8,4.1,3.3,3.7
80,11,4.2,1.3,2.0,1.9,2.5,,1.3
81,10,7.5,3.8,4.7,3.8,4.7,8.3,6.5
82,12,8.3,0.0,2.1,2.5,4.0,2.5,3.3
83,8,6.7,3.8,4.5,6.3,6.4,,6.4
84,8,7.5,2.5,3.8,3.8,4.7,3.3,4.0
85,7,5.8,0.6,1.9,1.9,3.0,3.3,3.2
86,5,8.3,4.4,5.4,,5.4,,5.4
87,5,,1.3,1.0,,1.0,,0.5
88,7,7.5,2.5,3.8,2.5,3.8,4.2,4.0
89,3,3.3,6.3,5.6,,5.6,,5.6
90,4,9.2,4.4,5.6,,5.6,,5.6
91,1,10.0,3.8,5.4,,5.4,,5.4
92,11,8.3,4.4,5.4,,5.4,,5.4
93,6,7.5,2.5,3.8,3.8,4.7,7.5,6.1
94,10,4.2,,1.1,3.1,3.4,2.5,3.0
95,8,7.5,3.1,4.2,6.9,7.1,,7.1
96,12,7.5,2.5,3.8,1.9,3.8,5.8,4.8
97,12,,,0.0,,0.0,,0.0
98,7,,,0.0,,0.0,,0.0
99,12,2.5,,0.6,,0.6,,0.3
100,7,,,0.0,,0.0,,0.0
101,9,8.3,,2.1,5.6,6.3,,6.3
102,13,6.7,3.1,4.0,3.8,4.5,6.7,5.6
103,3,5.8,,1.5,,1.5,,0.8
104,11,3.3,1.3,1.8,2.5,2.7,,1.4
105,6,2.5,1.9,2.1,5.0,4.4,5.8,5.1
106,8,2.5,2.5,2.5,2.5,2.5,,1.3
107,1,6.7,3.1,4.0,4.4,5.0,,5.0
108,4,5.8,3.1,3.8,,3.8,2.5,3.2
109,1,8.3,5.6,6.3,,6.3,,6.3
110,7,8.3,1.9,3.5,3.1,4.4,3.3,3.9
111,4,,,0.0,,0.0,,0.0
112,4,7.5,,1.9,,1.9,,1.0
113,10,4.2,0.6,1.5,1.9,2.5,,1.3
114,13,5.0,,1.3,1.9,2.7,,1.4
115,6,5.8,1.9,2.9,2.5,3.3,,1.7
116,3,3.3,3.8,3.7,1.9,3.7,1.7,2.7
117,11,4.2,2.5,2.9,,3.0,,1.5
118,9,4.2,1.9,2.5,3.8,3.9,5.0,4.5
119,4,6.7,3.1,4.0,3.1,4.0,2.5,3.3
120,8,7.5,4.4,5.2,,5.2,,5.2
121,6,5.0,2.5,3.1,0.6,3.1,4.2,3.7
122,9,7.5,2.5,3.8,1.9,3.8,2.5,3.2
123,9,3.3,1.3,1.8,,1.8,,0.9
124,4,0.8,,0.2,,0.2,,0.1
125,10,9.2,6.3,7.0,,7.0,,7.0
126,1,9.2,2.5,4.2,,4.2,,2.1
127,12,9.2,1.3,3.3,3.8,5.2,,5.2
128,2,6.7,6.3,6.4,,6.4,,6.4
